date,temperature,dewPoint,humidity,windSpeed,pressure,precipitation
2021-04-01,45.3,35.1,35.1,69.8,18.5,1.11
2021-04-02,38.4,14.3,14.3,38.8,17.8,0.0
2021-04-03,44.7,16.1,16.1,33.1,7.7,0.0
2021-04-04,58.4,28.8,28.8,35.0,9.5,0.0
2021-04-05,60.8,33.5,33.5,38.2,6.0,0.0
2021-04-06,64.2,39.8,39.8,43.0,4.0,0.0
2021-04-07,65.9,46.6,46.6,51.5,4.6,0.0
2021-04-08,62.5,43.2,43.2,50.3,8.7,0.0
2021-04-09,57.4,52.4,52.4,83.9,7.5,0.61
2021-04-10,59.6,54.4,54.4,84.1,6.4,0.0
2021-04-11,68.1,56.9,56.9,70.1,8.8,0.13
2021-04-12,57.5,50.4,50.4,77.5,9.7,0.01
2021-04-13,56.2,47.3,47.3,73.0,5.9,0.08
2021-04-14,57.2,52.1,52.1,83.3,6.4,0.0
2021-04-15,57.2,44.5,44.5,66.1,9.7,0.3
2021-04-16,52.0,31.7,31.7,46.5,11.9,0.0
2021-04-17,53.2,37.2,37.2,55.5,7.1,0.0
2021-04-18,57.1,37.9,37.9,50.0,6.8,0.0
2021-04-19,56.0,46.4,46.4,71.1,6.2,0.0
2021-04-20,61.4,44.7,44.7,59.6,10.8,0.01
2021-04-21,57.1,36.8,36.8,47.4,17.8,0.0
2021-04-22,45.0,20.2,20.2,38.0,12.0,0.0
2021-04-23,52.6,28.2,28.2,41.4,7.8,0.0
2021-04-24,54.2,38.6,38.6,58.6,6.2,0.0
2021-04-25,54.9,46.8,46.8,76.5,10.4,0.86
2021-04-26,57.1,30.5,30.5,38.5,11.5,0.0
2021-04-27,66.0,47.2,47.2,52.8,7.6,0.0
2021-04-28,73.8,57.3,57.3,57.9,9.4,0.0
2021-04-29,75.6,61.5,61.5,62.3,9.8,0.0
2021-04-30,65.5,42.2,42.2,45.0,20.8,0.01
